STJ;BFS-Nr.;Gde Name;Anlage Gde NP;Anlage Gde JP;LSt;Mischsatz JP;reformiert;römisch-katholisch;christ-katholisch;gültig von;gültig bis;provisorisch/ definitiv;KG_Bezeichnung;Verwaltungskreis/ Amtsbezirk
2025;750;Sutz-Lattrigen;1.7;1.7;1;0.2301;0.23;0.23;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;751;Täuffelen;1.59;1.59;1.25;0.1688;0.161;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;754;Walperswil;1.65;1.65;0.6;0.1865;0.1836;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;755;Worben;1.7;1.7;1.2;0.2002;0.2;0.2;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Seeland
2025;756;Twann-Tüscherz;1.65;1.65;1.5;0.1835;0.1683;0.23;0.28;01.01.2025;31.12.9999;definitiv;Kanton Bern;Biel/Bienne
2025;761;Därstetten;1.6;1.6;1.2;0.1643;0.16;0.23;0.23;01.01.2025;31.12.9999;definitiv;KG Spiez;Frutigen-Niedersimmental
2025;762;Diemtigen;1.8;1.8;1.5;0.23;0.23;0.23;0.23;01.01.2025;31.12.9999;definitiv;KG Spiez;Frutigen-Niedersimmental
2025;763;Erlenbach i.S.;1.64;1.64;1.5;0.23;0.23;0.23;0.23;01.01.2025;31.12.9999;definitiv;KG Spiez;Frutigen-Niedersimmental
2025;766;Oberwil i. S.;1.64;1.64;1.5;0.23;0.23;0.23;0.23;01.01.2025;31.12.9999;definitiv;KG Spiez;Frutigen-Niedersimmental
2025;767;Reutigen (Reutigen);1.75;1.75;1.2;0.23;0.23;0.23;0.23;01.01.2025;31.12.9999;definitiv;KG Spiez;Thun
2025;767;Reutigen (Zwieselberg);1.75;1.75;1.2;0.2446;0.246;0.195;0.23;01.01.2025;31.12.9999;definitiv;KG Spiez;Thun
2025;768;Spiez;1.65;1.65;0.9;0.1839;0.174;0.23;0.23;01.01.2025;31.12.9999;definitiv;KG Spiez;Frutigen-Niedersimmental
2025;769;Wimmis;1.57;1.57;1.5;0.23;0.23;0.23;0.23;01.01.2025;31.12.9999;definitiv;KG Spiez;Frutigen-Niedersimmental
2025;770;Stocken-Höfen (Höfen);1.79;1.79;1.2;0.2415;0.246;0.195;0.23;01.01.2025;31.12.9999;definitiv;Kanton Bern;Thun
2025;770;Stocken-Höfen (Ober-/Niederst);1.79;1.79;1.2;0.23;0.23;0.23;0.23;01.01.2025;31.12.9999;definitiv;Kanton Bern;Thun
2025;782;Guttannen;1.65;1.65;1.5;0.2208;0.23;0.2;0.23;01.01.2025;31.12.9999;definitiv;KG Meiringen;Interlaken-Oberhasli
2025;783;Hasliberg;2.1;2.1;1.5;0.2254;0.23;0.2;0.23;01.01.2025;31.12.9999;definitiv;KG Meiringen;Interlaken-Oberhasli
2025;784;Innertkirchen (Gadmen);1.6;1.6;1.5;0.2621;0.276;0.2;0.23;01.01.2025;31.12.9999;definitiv;KG Meiringen;Interlaken-Oberhasli
2025;784;Innertkirchen (Innertkirchen);1.6;1.6;1.5;0.2249;0.23;0.2;0.23;01.01.2025;31.12.9999;definitiv;KG Meiringen;Interlaken-Oberhasli
2025;785;Meiringen;1.8;1.8;1.3;0.2213;0.23;0.2;0.23;01.01.2025;31.12.9999;provisorisch;KG Meiringen;Interlaken-Oberhasli
2025;786;Schattenhalb;1.94;1.94;1.5;0.225;0.23;0.2;0.23;01.01.2025;31.12.9999;definitiv;KG Meiringen;Interlaken-Oberhasli
