Steuerbares Einkommen;Einheitssteuersatz %
124100;4.0736
124200;4.0745
124300;4.0754
124400;4.0763
124500;4.0772
124600;4.0781
124700;4.079
124800;4.0799
124900;4.0808
125000;4.0817
125100;4.0826
125200;4.0835
125300;4.0844
125400;4.0853
125500;4.0862
125600;4.0871
125700;4.0879
125800;4.0888
125900;4.0897
126000;4.0906
126100;4.0915
126200;4.0924
126300;4.0932
126400;4.0941
126500;4.095
126600;4.0959
126700;4.0967
126800;4.0976
126900;4.0985
127000;4.0993
127100;4.1002
127200;4.1011
127300;4.1019
127400;4.1028
127500;4.1036
127600;4.1045
127700;4.1054
127800;4.1062
127900;4.1071
128000;4.1079
128100;4.1088
128200;4.1096
128300;4.1105
128400;4.1113
128500;4.1122
128600;4.113
128700;4.1139
128800;4.1147
128900;4.1156
129000;4.1164
129100;4.1172
129200;4.1181
129300;4.1189
129400;4.1197
129500;4.1206
129600;4.1214
129700;4.1222
129800;4.1231
129900;4.1239
130000;4.1247
130100;4.1256
130200;4.1264
130300;4.1272
130400;4.128
130500;4.1289
130600;4.1297
130700;4.1305
130800;4.1313
130900;4.1321
131000;4.1329
131100;4.1338
131200;4.1346
131300;4.1354
131400;4.1362
131500;4.137
131600;4.1378
131700;4.1386
131800;4.1394
131900;4.1402
132000;4.141
132100;4.1418
132200;4.1426
132300;4.1434
132400;4.1442
132500;4.145
132600;4.1458
132700;4.1466
132800;4.1474
132900;4.1482
133000;4.149
133100;4.1498
133200;4.1506
133300;4.1514
133400;4.1521
133500;4.1529
133600;4.1537
133700;4.1545
133800;4.1553
133900;4.156
134000;4.1568
134100;4.1576
134200;4.1584
134300;4.1592
134400;4.1599
134500;4.1607
134600;4.1615
134700;4.1622
134800;4.163
134900;4.1638
135000;4.1646
135100;4.1653
135200;4.1661
135300;4.1669
135400;4.1676
135500;4.1684
135600;4.1691
135700;4.1699
135800;4.1707
135900;4.1714
136000;4.1722
136100;4.1729
136200;4.1737
136300;4.1744
136400;4.1752
136500;4.1759
136600;4.1767
136700;4.1774
136800;4.1782
136900;4.1789
137000;4.1797
137100;4.1808
137200;4.1819
137300;4.183
137400;4.1841
137500;4.1852
137600;4.1863
137700;4.1874
137800;4.1885
137900;4.1896
138000;4.1907
138100;4.1918
138200;4.1929
138300;4.194
138400;4.1951
138500;4.1961
138600;4.1972
138700;4.1983
138800;4.1994
138900;4.2005
139000;4.2015
139100;4.2026
139200;4.2037
139300;4.2048
139400;4.2058
139500;4.2069
139600;4.208
139700;4.2091
139800;4.2101
139900;4.2112
140000;4.2123
140100;4.2133
140200;4.2144
140300;4.2154
140400;4.2165
140500;4.2175
140600;4.2186
140700;4.2197
140800;4.2207
140900;4.2218
141000;4.2228
141100;4.2238
141200;4.2249
141300;4.2259
141400;4.227
141500;4.228
141600;4.2291
141700;4.2301
141800;4.2311
141900;4.2322
142000;4.2332
142100;4.2342
142200;4.2353
142300;4.2363
142400;4.2373
142500;4.2384
142600;4.2394
142700;4.2404
142800;4.2414
142900;4.2424
143000;4.2435
143100;4.2445
143200;4.2455
143300;4.2465
143400;4.2475
143500;4.2485
143600;4.2495
143700;4.2506
143800;4.2516
143900;4.2526
144000;4.2536
144100;4.2546
144200;4.2556
144300;4.2566
144400;4.2576
144500;4.2586
144600;4.2596
144700;4.2606
144800;4.2616
144900;4.2626
145000;4.2636
145100;4.2645
145200;4.2655
145300;4.2665
145400;4.2675
145500;4.2685
145600;4.2695
145700;4.2705
145800;4.2714
145900;4.2724
146000;4.2734
146100;4.2744
146200;4.2753
146300;4.2763
146400;4.2773
146500;4.2783
146600;4.2792
146700;4.2802
146800;4.2812
146900;4.2821
147000;4.2831
147100;4.2841
147200;4.285
147300;4.286
147400;4.2869
147500;4.2879
147600;4.2889
147700;4.2898
147800;4.2908
147900;4.2917
148000;4.2927
148100;4.2936
148200;4.2946
148300;4.2955
148400;4.2965
148500;4.2974
148600;4.2984
148700;4.2993
148800;4.3002
148900;4.3012
149000;4.3021
149100;4.3031
149200;4.304
149300;4.3049
149400;4.3059
149500;4.3068
149600;4.3077
149700;4.3087
149800;4.3096
149900;4.3105
150000;4.3114
150100;4.3124
150200;4.3133
150300;4.3142
150400;4.3151
150500;4.316
150600;4.317
150700;4.3179
150800;4.3188
150900;4.3197
151000;4.3206
151100;4.3215
151200;4.3225
151300;4.3234
151400;4.3243
151500;4.3252
151600;4.3261
151700;4.327
151800;4.3279
151900;4.3288
152000;4.3297
152100;4.3306
152200;4.3315
152300;4.3324
152400;4.3333
152500;4.3342
152600;4.3351
152700;4.336
152800;4.3369
152900;4.3378
153000;4.3387
153100;4.3395
153200;4.3404
153300;4.3413
153400;4.3422
153500;4.3431
153600;4.344
153700;4.3449
153800;4.3457
153900;4.3466
154000;4.3475
154100;4.3484
154200;4.3493
154300;4.3501
154400;4.351
154500;4.3519
154600;4.3527
154700;4.3536
154800;4.3545
154900;4.3554
155000;4.3562
155100;4.3571
155200;4.358
155300;4.3588
155400;4.3597
155500;4.3605
155600;4.3614
155700;4.3623
155800;4.3631
155900;4.364
156000;4.3648
156100;4.3657
156200;4.3665
156300;4.3674
156400;4.3683
156500;4.3691
156600;4.37
156700;4.3708
156800;4.3717
156900;4.3725
157000;4.3733
157100;4.3742
157200;4.375
157300;4.3759
157400;4.3767
157500;4.3776
157600;4.3784
157700;4.3792
157800;4.3801
157900;4.3809
158000;4.3817
158100;4.3826
158200;4.3834
158300;4.3842
158400;4.3851
158500;4.3859
158600;4.3867
158700;4.3876
158800;4.3884
158900;4.3892
159000;4.39
159100;4.3909
159200;4.3917
159300;4.3925
159400;4.3933
159500;4.3941
159600;4.395
159700;4.3958
159800;4.3966
159900;4.3974
160000;4.3982
160100;4.399
160200;4.3998
160300;4.4007
160400;4.4015
160500;4.4023
160600;4.4031
160700;4.4039
160800;4.4047
160900;4.4055
161000;4.4063
161100;4.4071
161200;4.4079
161300;4.4087
161400;4.4095
161500;4.4103
161600;4.4111
161700;4.4119
161800;4.4127
161900;4.4135
162000;4.4143
162100;4.4151
162200;4.4159
162300;4.4167
162400;4.4175
162500;4.4182
162600;4.419
162700;4.4198
162800;4.4206
162900;4.4214
163000;4.4222
163100;4.423
163200;4.4237
163300;4.4245
163400;4.4253
163500;4.4261
163600;4.4269
163700;4.4276
163800;4.4284
163900;4.4292
164000;4.43
164100;4.4307
164200;4.4315
164300;4.4323
164400;4.4331
164500;4.4338
164600;4.4346
164700;4.4354
164800;4.4361
164900;4.4369
165000;4.4377
165100;4.4384
165200;4.4392
165300;4.44
165400;4.4407
165500;4.4415
165600;4.4422
165700;4.443
165800;4.4438
165900;4.4445
166000;4.4453
166100;4.446
166200;4.4468
166300;4.4475
166400;4.4483
166500;4.449
166600;4.4498
166700;4.4505
166800;4.4513
166900;4.452
167000;4.4528
167100;4.4535
167200;4.4543
167300;4.455
167400;4.4558
167500;4.4565
167600;4.4572
167700;4.458
167800;4.4587
167900;4.4595
168000;4.4602
168100;4.4609
168200;4.4617
168300;4.4624
168400;4.4632
168500;4.4639
168600;4.4646
168700;4.4654
168800;4.4661
168900;4.4668
169000;4.4675
169100;4.4683
169200;4.469
169300;4.4697
169400;4.4705
169500;4.4712
169600;4.4719
169700;4.4726
169800;4.4734
169900;4.4741
170000;4.4748
170100;4.4755
170200;4.4762
170300;4.477
170400;4.4777
170500;4.4784
170600;4.4791
170700;4.4798
170800;4.4805
170900;4.4812
171000;4.482
171100;4.4827
171200;4.4834
171300;4.4841
171400;4.4848
171500;4.4855
171600;4.4862
171700;4.4869
171800;4.4876
171900;4.4883
172000;4.489
172100;4.4897
172200;4.4904
172300;4.4911
172400;4.4919
172500;4.4926
172600;4.4933
172700;4.4939
172800;4.4946
172900;4.4953
173000;4.496
173100;4.4967
173200;4.4974
173300;4.4981
173400;4.4988
173500;4.4995
173600;4.5002
173700;4.5009
173800;4.5016
173900;4.5023
174000;4.503
174100;4.5036
174200;4.5043
174300;4.505
174400;4.5057
174500;4.5064
174600;4.5071
174700;4.5078
174800;4.5084
174900;4.5091
175000;4.5098
175100;4.5105
175200;4.5112
175300;4.5118
175400;4.5125
175500;4.5132
175600;4.5139
175700;4.5145
175800;4.5152
175900;4.5159
176000;4.5166
176100;4.5172
176200;4.5179
176300;4.5186
176400;4.5192
176500;4.5199
176600;4.5206
176700;4.5213
176800;4.5219
176900;4.5226
177000;4.5232
177100;4.5239
177200;4.5246
177300;4.5252
177400;4.5259
177500;4.5266
177600;4.5272
177700;4.5279
177800;4.5286
177900;4.5294
178000;4.5301
178100;4.5309
178200;4.5316
178300;4.5323
178400;4.5331
178500;4.5338
