Steuerbares Einkommen;Einheitssteuersatz %
156100;4.9672
156200;4.9678
156300;4.9684
156400;4.969
156500;4.9696
156600;4.9702
156700;4.9708
156800;4.9714
156900;4.972
157000;4.9725
157100;4.9731
157200;4.9737
157300;4.9743
157400;4.9749
157500;4.9755
157600;4.9761
157700;4.9767
157800;4.9772
157900;4.9778
158000;4.9784
158100;4.979
158200;4.9796
158300;4.9802
158400;4.9807
158500;4.9813
158600;4.9819
158700;4.9825
158800;4.9831
158900;4.9836
159000;4.9842
159100;4.9848
159200;4.9854
159300;4.9859
159400;4.9865
159500;4.9871
159600;4.9877
159700;4.9882
159800;4.9888
159900;4.9894
160000;4.9899
160100;4.9905
160200;4.9911
160300;4.9916
160400;4.9922
160500;4.9928
160600;4.9933
160700;4.9939
160800;4.9945
160900;4.995
161000;4.9956
161100;4.9962
161200;4.9967
161300;4.9973
161400;4.9978
161500;4.9984
161600;4.9989
161700;4.9995
161800;5.0001
161900;5.0006
162000;5.0012
162100;5.0017
162200;5.0023
162300;5.0028
162400;5.0034
162500;5.0039
162600;5.0045
162700;5.005
162800;5.0056
162900;5.0061
163000;5.0067
163100;5.0072
163200;5.0078
163300;5.0083
163400;5.009
163500;5.0096
163600;5.0102
163700;5.0109
163800;5.0115
163900;5.0121
164000;5.0128
164100;5.0134
164200;5.014
164300;5.0147
164400;5.0153
164500;5.0159
164600;5.0166
164700;5.0172
164800;5.0178
164900;5.0184
165000;5.0191
165100;5.0197
165200;5.0203
165300;5.0209
165400;5.0216
165500;5.0222
165600;5.0228
165700;5.0234
165800;5.024
165900;5.0247
166000;5.0253
166100;5.0259
166200;5.0265
166300;5.0271
166400;5.0277
166500;5.0283
166600;5.029
166700;5.0296
166800;5.0302
166900;5.0308
167000;5.0314
167100;5.032
167200;5.0326
167300;5.0332
167400;5.0338
167500;5.0344
167600;5.0351
167700;5.0357
167800;5.0363
167900;5.0369
168000;5.0375
168100;5.0381
168200;5.0387
168300;5.0393
168400;5.0399
168500;5.0405
168600;5.0411
168700;5.0417
168800;5.0423
168900;5.0429
169000;5.0435
169100;5.0441
169200;5.0447
169300;5.0452
169400;5.0458
169500;5.0464
169600;5.047
169700;5.0476
169800;5.0482
169900;5.0488
170000;5.0494
170100;5.05
170200;5.0506
170300;5.0511
170400;5.0517
170500;5.0523
170600;5.0529
170700;5.0535
170800;5.0541
170900;5.0547
171000;5.0552
171100;5.0558
171200;5.0564
171300;5.057
171400;5.0576
171500;5.0581
171600;5.0587
171700;5.0593
171800;5.0599
171900;5.0604
172000;5.061
172100;5.0616
172200;5.0622
172300;5.0627
172400;5.0633
172500;5.0639
172600;5.0645
172700;5.065
172800;5.0656
172900;5.0662
173000;5.0667
173100;5.0673
173200;5.0679
173300;5.0684
173400;5.069
173500;5.0696
173600;5.0701
173700;5.0707
173800;5.0713
173900;5.0718
174000;5.0724
174100;5.0729
174200;5.0735
174300;5.0741
174400;5.0746
174500;5.0752
174600;5.0757
174700;5.0763
174800;5.0769
174900;5.0774
175000;5.078
175100;5.0785
175200;5.0791
175300;5.0796
